event_name,contract_address,event_arguments,transaction_hash,block_number,block_hash,log_index,transaction_index,poolAddress,poolType,nft,bondingCurve,fee,delta
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x2D7536109EFb51Bf770B2151101055226eB4B8Df'},0x367162ad2b86e26dc288162fe9a8f0078ba1a6ae3854041639f2e8a7edf98f5c,15297471,0xa645a9817c9737fa4f8becd110ab25a791d10bb1c5cc2c431c5e971f0fe3b1f5,516,256,0x2D7536109EFb51Bf770B2151101055226eB4B8Df,2,0x6C5a06AE6b773457480c12F12C2fB22627507A3A,0x432f962D8209781da23fB37b6B59ee15dE7d9841,55000000000000000,1050000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0xfc1D273cC73d42F9bB1d5c34B17bE7A3b88569d9'},0x3d9e54a24e2b66ae7e1e4a2e482c2985fd68be978963fd9134172ec7bbe89458,15297486,0x40b762e310dfd56be4a412608be04da4e3e1bf24d7a863b6fa51fe3e2089ea73,173,76,0xfc1D273cC73d42F9bB1d5c34B17bE7A3b88569d9,2,0x6C5a06AE6b773457480c12F12C2fB22627507A3A,0x432f962D8209781da23fB37b6B59ee15dE7d9841,90000000000000000,1100000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x92e43DA1FFF0c22ee7AfaC8bA2aF37feb56f0071'},0x1d2304b7a7f1e14bb1ad5b2dd2acfa9355eebfc0ee7af36a27eafa208f9c7efa,15297494,0xe4884ab07306247d4b60dec498dd4668290a53e3fa6e886303dbb107b37e1b6f,72,44,0x92e43DA1FFF0c22ee7AfaC8bA2aF37feb56f0071,2,0x5Af0D9827E0c53E4799BB226655A1de152A425a5,0x432f962D8209781da23fB37b6B59ee15dE7d9841,50000000000000000,1035000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0xBb9103992cD7bF2B6a2b9930cC2Bd1f459E6CE54'},0xaf0a188d2e5970586152d70649f192030bbd253b0afec2a5412ffd876e533c2c,15297500,0xf233085b2fb5eeb1c837b8d2aabf11517ff3bed151357c55af0e7e10f696d087,547,201,0xBb9103992cD7bF2B6a2b9930cC2Bd1f459E6CE54,2,0xEC0a7A26456B8451aefc4b00393ce1BefF5eB3e9,0x432f962D8209781da23fB37b6B59ee15dE7d9841,50000000000000000,1500000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x117DB78c14CB96C18615D424A6EB05AaEf2DE9d6'},0x720bce33372a0cb7d23f387b1da387a488bdb6ab45650aa1b03d11c49a8bd5f4,15297504,0x94e57f1a9bc40dd9c71aa58445121e3c72483d402a3bcb824cc5d845f7a368cd,159,44,0x117DB78c14CB96C18615D424A6EB05AaEf2DE9d6,2,0x7e56bCD5Db453bCCb10e3bCA1bF2F88614f561aA,0x5B6aC51d9B1CeDE0068a1B26533CAce807f883Ee,30000000000000000,37000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x38355D1A989dd4691EdbF1ad46158307Fc5A05eb'},0xa1d869de1c2b78d6bb02cfa7f8d90f90caaa29b25351dc52c96887bde277ae8c,15297538,0x83382e6d769474060d5e6523bf3cfb136e811f2f540e021615be5158dbacab7d,212,115,0x38355D1A989dd4691EdbF1ad46158307Fc5A05eb,2,0x6C5a06AE6b773457480c12F12C2fB22627507A3A,0x432f962D8209781da23fB37b6B59ee15dE7d9841,40000000000000000,1050000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x1c2afeC67DBADd6C3e5c9FeA3a637432974180b9'},0x1795928c1391f6f0489ddeb73e03a7e94279df3b19f38c67e0f1fc626af7cef2,15297632,0x7e0bf530d4667f60263e4163094d6f0409a8f912fc0044f2f3a04db642140deb,158,64,0x1c2afeC67DBADd6C3e5c9FeA3a637432974180b9,2,0x6C5a06AE6b773457480c12F12C2fB22627507A3A,0x432f962D8209781da23fB37b6B59ee15dE7d9841,50000000000000000,1100000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0xbBC7a861ecEE491855aE19AB4e1B55A3fbaeffa4'},0x2b7a8c87d4101a159bcb619cb0b5d55064ee8de49cc6e0031aee54237d69d58b,15297644,0x565e6c0e62e3fa20b9040d7058542ec0073bb2d17feae0c5153378f3f2d42730,321,53,0xbBC7a861ecEE491855aE19AB4e1B55A3fbaeffa4,2,0x6C5a06AE6b773457480c12F12C2fB22627507A3A,0x432f962D8209781da23fB37b6B59ee15dE7d9841,40000000000000000,1040000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0xA87d6B075d1fa6083826db79d386FC7Fe72131b2'},0x69a238bb7faec78b5cf311b3176c682e6d82de0cf713b960b4294bf80dea4c41,15297667,0xb0c0011c89a72bf329bcaad79cb7e99c2af1443bd2771915e63c95e6897f87cb,224,95,0xA87d6B075d1fa6083826db79d386FC7Fe72131b2,2,0x6C5a06AE6b773457480c12F12C2fB22627507A3A,0x432f962D8209781da23fB37b6B59ee15dE7d9841,100000000000000000,1400000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x8269649AeEd43a5d7a9bdD4315CA715e6c130f28'},0x483ad332b405a13cc33c287c875475c369de98dc0d8dcdaa1796d707ea8d9116,15297765,0xaf1c8be1f523a9c469a5a3e7b922b5657c5b34bc0a5b706248478a9fe0555619,188,113,0x8269649AeEd43a5d7a9bdD4315CA715e6c130f28,2,0xE15715d6dBBc7227B2F6B0f044C3b4978676D48f,0x432f962D8209781da23fB37b6B59ee15dE7d9841,190000000000000000,1010000000000000000
